sep=;
sku;size
74344134;55-61;
843454;Что-то пошло не так;
930159;55-61;
1676084;55-61;
2091634;55-61;
4690046;55-61;
5600776;55-61;
6413364;L/XL;
7726763;55-61;
9498362;55-61;
12051773;55-61;
18382974;55-61;
30466237;55-61;
30466237;55-61;
41823598;55-61;
12051466;55-61;
5600762;55-61;
22259808;55-61;
22259811;55-61;
22259813;55-61;
4199812;55-61;
30466233;55-61;
30466235;55-61;
30466203;55-61;
18382964;55-61;
30466197;55-61;
12051775;55-61;
30466251;55-61;
30466191;55-61;
30466207;55-61;
30466229;55-61;
30466251;55-61;
30466247;55-61;
30466249;55-61;
64846942;55-61;
64847021;55-61;
64847018;55-61;
74344325;55-61;
74351539;55-61;
74344327;55-61;
74344328;55-61;
74344343;55-61;
74344345;55-61;
78844562;S/M;
78844567;L/XL;
78844564;S/M;
78844564;L/XL;
74344428;S/M;
74344516;55-61;
74344518;55-61;
74344517;55-61;
74343927;55-61;
74344360;55-61;
22259696;55-61;
22259734;55-61;
22259804;55-61;
22259769;55-61;
31257725;55-61;
31257730;55-61;
74344155;55-61;
3330154;55-61;
6413364;S/M;
7726385;55-61;
6413365;55-61;
64846926;55-61;
74344332;55-61;
74344394;L/XL;
74344354;S/M;
78844560;55-61;
12051774;55-61;
22259733;55-61;
31257767;55-61;
41834564;55-61;
74344329;55-61;
74344394;S/M;
22259818;55-61;
843453;55-61;
843453;55-61;
30466189;55-61;
5600762;55-61;
5600762;55-61;
30466196;55-61;
12051768;55-61;
12051764;55-61;
12051766;55-61;
30466194;55-61;
45456968;55-61;
31257864;55-61;
64847095;55-61;
74344339;55-61;
74344338;55-61;
22259714;55-61;
22259701;55-61;
22259708;55-61;
22259741;55-61;
22259740;55-61;
22259706;55-61;
22259705;55-61;
22259722;55-61;
22259723;55-61;
22259712;55-61;
22259713;55-61;
22259725;55-61;
22259726;55-61;
22259752;55-61;
12051763;55-61;
22259766;55-61;
22259767;55-61;
22259763;55-61;
22259762;55-61;
22259821;55-61;
22259820;55-61;
22259822;55-61;
22259826;55-61;
22259711;55-61;
22259727;55-61;
22259761;55-61;
22259750;55-61;
22259730;55-61;
22259746;55-61;
22259747;55-61;
22259748;55-61;
22259749;55-61;
22259710;55-61;
22259731;55-61;
22259742;55-61;
22259703;55-61;
22259707;55-61;
22259737;55-61;
22259720;55-61;
22259721;55-61;
22259764;55-61;
22259704;55-61;
22259702;55-61;
22259745;55-61;
22259716;55-61;
22259738;55-61;
22259765;55-61;
22259719;55-61;
22259717;55-61;
22259743;55-61;
22259758;55-61;
22259807;55-61;
22259809;55-61;
22259815;55-61;
22259768;55-61;
22259770;55-61;
22259771;55-61;
22259772;55-61;
22259773;55-61;
22259774;55-61;
22259778;55-61;
22259779;55-61;
22259780;55-61;
22259781;55-61;
22259782;55-61;
22259783;55-61;
22259784;55-61;
22259785;55-61;
22259786;55-61;
22259787;55-61;
22259788;55-61;
31257712;55-61;
31257719;55-61;
31257726;55-61;
31257743;55-61;
31257753;55-61;
31257764;55-61;
74344133;55-61;
74344135;55-61;
74344145;55-61;
74344150;55-61;
7726760;M;
30466198;55-61;
930158;55-61;
1946039;Что-то пошло не так;
12314501;55-61;
4199812;55-61;
2392057;Что-то пошло не так;
3330152;55-61;
3897237;55-61;
3897239;55-61;
4690162;55-61;
5600753;55-61;
9500419;55-61;
5600754;55-61;
12051461;55-61;
5600756;55-61;
5600760;55-61;
30466186;55-61;
6413362;55-61;
9498360;55-61;
9498378;55-61;
12051463;55-61;
12051754;55-61;
12051759;55-61;
12051760;55-61;
30466201;55-61;
22259709;55-61;
18382970;55-61;
30466255;55-61;
31257708;55-61;
74344778;55-61;
22259832;55-61;
18382967;55-61;
64847031;55-61;
31257716;55-61;
930158;Что-то пошло не так;

