sep=;
sku;size
12051467;L;
34461645;S;
15484308;S;
61065524;S;
8045936;S;
6687683;S;
36062151;L;
52003327;XL;
34461646;L;
6687683;M;
2704513;M;
6690899;M;
4970365;XL;
9498355;L;
87051053;55-61;
6687681;M;
20902801;L;
8109337;L;
5746666;XL;
5600745;S;
34461633;S;
4690129;M;
14557724;M;
9098445;S;
4970440;M;
6531463;M;
34461644;S;
6690900;M;
7951399;L;
6687682;S;
6531258;M/L;
14557724;S;
5746675;S;
7951400;M;
5498772;55-61;
9098473;S;
12301463;XL;
8045920;55-61;
6687685;S;
20902798;S;
17396050;55-59;
5249817;M/L;
4970365;L;
16942325;L;
34461619;S;
5499831;M;
17396144;L;
8045934;L;
6531258;S/M;
34461646;M;
4970475;L;
8045081;M;
8045940;XL;
15484311;L;
9808288;L;
34461494;M;
34461494;S;
87044044;XXL;
4033276;S/M;
61065461;M;
4789153;M;
5746668;XL;
5746666;L;
34461626;XL;
20902797;S;
34461628;L;
5746668;L;
4272939;L;
41835609;M;
5702463;M;
34461618;M;
34461610;L;
12051467;M;
6412782;L;
5702463;L;
7951403;M;
9098447;L;
3386222;L;
20902803;S;
9098444;S;
5499831;S;
6690895;L;
4970440;L;
34461638;S;
20902802;M;
8707251;M;
8045104;55-61;
9098440;XL;
4033131;L;
6687682;M;
6690867;M;
34847888;M;
8045936;M;
9097592;M;
4789151;M;
10030002;S;
34461644;XL;
6690895;S;
10614509;M;
6690872;M;

